 [-1.18015527e-02  9.01923677e+00]
 [-1.17976006e-02  9.03399821e+00]
 [-1.17927529e-02  9.04875964e+00]
 [-1.17905510e-02  9.06352108e+00]
 [-1.17893341e-02  9.07828251e+00]
 [-1.17864680e-02  9.09304395e+00]
 [-1.17855200e-02  9.10780538e+00]
 [-1.17838537e-02  9.12256682e+00]
 [-1.17836924e-02  9.13732825e+00]
 [-1.17836600e-02  9.15208969e+00]
 [-1.17839275e-02  9.16685112e+00]
 [-1.17846614e-02  9.18161256e+00]
 [-1.17857465e-02  9.19637399e+00]
 [-1.17871802e-02  9.21113543e+00]
 [-1.17890773e-02  9.22589686e+00]
 [-1.17912320e-02  9.24065830e+00]
 [-1.17935680e-02  9.25541973e+00]
 [-1.17965119e-02  9.27018117e+00]
 [-1.17998986e-02  9.28494260e+00]
 [-1.18010940e-02  9.29970404e+00]
 [-1.18057864e-02  9.31446547e+00]
 [-1.18108782e-02  9.32922691e+00]
 [-1.18152272e-02  9.34398834e+00]
 [-1.18203564e-02  9.35874978e+00]
 [-1.18246994e-02  9.37351121e+00]
 [-1.18308120e-02  9.38827265e+00]
 [-1.18367773e-02  9.40303408e+00]
 [-1.18433263e-02  9.41779552e+00]
 [-1.18500508e-02  9.43255695e+00]
 [-1.18569269e-02  9.44731839e+00]
 [-1.18638289e-02  9.46207982e+00]
 [-1.18712530e-02  9.47684126e+00]
 [-1.18788346e-02  9.49160269e+00]
 [-1.18865111e-02  9.50636413e+00]
 [-1.18944274e-02  9.52112556e+00]
 [-1.19002274e-02  9.53588700e+00]
 [-1.19100858e-02  9.55064843e+00]
 [-1.19189666e-02  9.56540987e+00]
 [-1.19271399e-02  9.58017130e+00]
 [-1.19369969e-02  9.59493274e+00]
 [-1.19452705e-02  9.60969417e+00]
 [-1.19548867e-02  9.62445561e+00]
 [-1.19633188e-02  9.63921704e+00]
 [-1.19735572e-02  9.65397848e+00]
 [-1.19834596e-02  9.66873991e+00]
 [-1.19929585e-02  9.68350135e+00]
 [-1.20030405e-02  9.69826278e+00]
 [-1.20128163e-02  9.71302422e+00]
 [-1.20226536e-02  9.72778565e+00]
 [-1.20324606e-02  9.74254709e+00]
 [-1.20424817e-02  9.75730852e+00]
 [-1.20524108e-02  9.77206996e+00]
 [-1.20627744e-02  9.78683139e+00]
 [-1.20714838e-02  9.80159283e+00]
 [-1.20829173e-02  9.81635426e+00]
 [-1.20942221e-02  9.83111570e+00]
 [-1.20921304e-02  9.84587713e+00]
 [-1.20859641e-02  9.86063857e+00]
 [-1.20758861e-02  9.87540000e+00]
 [-1.20620594e-02  9.89016144e+00]
 [-1.20446471e-02  9.90492287e+00]
 [-1.20238120e-02  9.91968431e+00]
 [-1.19997171e-02  9.93444574e+00]
 [-1.19725256e-02  9.94920718e+00]
 [-1.19424002e-02  9.96396861e+00]
 [-1.19095042e-02  9.97873005e+00]
 [-1.18740003e-02  9.99349148e+00]
 [-1.18360516e-02  1.00082529e+01]
 [-1.17958211e-02  1.00230144e+01]
 [-1.17534718e-02  1.00377758e+01]
 [-1.17091667e-02  1.00525372e+01]
 [-1.16630687e-02  1.00672987e+01]
 [-1.16153408e-02  1.00820601e+01]
 [-1.15661461e-02  1.00968215e+01]
 [-1.15156475e-02  1.01115830e+01]
 [-1.14640079e-02  1.01263444e+01]
 [-1.14113905e-02  1.01411058e+01]
 [-1.13579581e-02  1.01558673e+01]
 [-1.13038738e-02  1.01706287e+01]
 [-1.12493005e-02  1.01853901e+01]
 [-1.11944012e-02  1.02001516e+01]
 [-1.11393390e-02  1.02149130e+01]
 [-1.10842767e-02  1.02296744e+01]
 [-1.10293775e-02  1.02444359e+01]
 [-1.09748042e-02  1.02591973e+01]
 [-1.09207199e-02  1.02739587e+01]
 [-1.08672875e-02  1.02887202e+01]
 [-1.08146700e-02  1.03034816e+01]
 [-1.07630305e-02  1.03182431e+01]
 [-1.07125319e-02  1.03330045e+01]
 [-1.06633371e-02  1.03477659e+01]
 [-1.06156093e-02  1.03625274e+01]
 [-1.05695113e-02  1.03772888e+01]
